"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","23"
"000000541851","소년이 온다 :한강 장편소설","한강 지음","창비","2014","9788936434120","8","23"
"000001297078","여행의 이유 :김영하 산문","김영하 지음","문학동네","2019","9788954655972","8","22"
"000001481845","미드나잇 라이브러리","매트 헤이그 지음","인플루엔셜","2021","9791191056556","8","18"
"000001550988","내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음","다산초당 : 다산북스","2022","9791130689890","2","16"
"000001485420","불편한 편의점 :김호연 장편소설","김호연 지음","나무옆의자","2021","9791161571188","8","16"
"000001058983","파친코 :이민진 장편소설 .1","이민진 지음","문학사상","2018","9788970129815","8","16"
"000000993834","바깥은 여름 :김애란 소설","김애란 [지음]","문학동네","2017","9788954646079","8","15"
"000001563918","하얼빈 :김훈 장편소설","김훈 지음","문학동네","2022","9788954699914","8","15"
"000001508624","지구 끝의 온실 :김초엽 장편소설","김초엽 지음","Giant Books(자이언트북스)","2021","9791191824001","8","14"
"000001543223","도파민네이션 :쾌락 과잉 시대에서 균형 찾기","애나 렘키 지음","흐름출판","2022","9788965965046","5","13"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","13"
"000001383732","(나를 숨 쉬게 하는) 보통의 언어들","김이나 지음","위즈덤하우스","2020","9791190786355","8","12"
"000000722900","구의 증명 :최진영 소설","최진영 지음","은행나무","2015","9788956608556","8","12"
"000001137438","내게 무해한 사람 :최은영 소설","최은영 지음","문학동네","2018","9788954651820","8","12"
"000001508031","밝은 밤 :최은영 장편소설","최은영 지음","문학동네","2021","9788954681179","8","12"
"000001563027","불편한 편의점 :김호연 장편소설 .2","김호연 지음","나무옆의자","2022","9791161571379","8","12"
"000001485574","완전한 행복 :정유정 장편소설","정유정 지음","은행나무","2021","9791167370280","8","12"
"000001332798","코스모스 :특별판","칼 세이건 지음","사이언스북스","2006","9788983711892","4","12"
"000001329643","그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","앤절라 더크워스 지음","비즈니스북스","2019","9791162540633","3","11"
"000001398447","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설","이미예 지음","팩토리나인","2020","9791165341909","8","11"
"000001220440","부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판","로버트 기요사키 지음","민음인","2018","9791158883591","3","11"
"000001329652","선량한 차별주의자","김지혜 지음","창비","2019","9788936477196","3","11"
"000001103910","파친코 :이민진 장편소설 .2","이민진 지음","문학사상","2018","9788970129822","8","11"
"000000714404","한국이 싫어서 :장강명 장편소설","장강명 지음","민음사","2015","9788937473074","8","11"
"000001473627","긴긴밤","루리 글?그림","문학동네","2021","9788954677158","8","10"
"000000709744","나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기","너바나 지음","시공사: 알키","2015","9788952773487","3","10"
"000001318628","대도시의 사랑법 :박상영 연작소설","박상영 지음","창비","2019","9788936437978","8","10"
"000000831695","무빙 :강풀액션만화 .2 ,사람을 구하는 일을 하고 싶었다","강풀 [지음]","위즈덤하우스","2016","9788960869226","8","10"
"000000831698","무빙 :강풀액션만화 .5 ,이젠 날아...있는 힘껏 날아라","강풀 [지음]","위즈덤하우스","2016","9788960869257","8","10"
"000001523906","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러 지음","곰출판","2021","9791189327156","4","10"
"000000643532","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침","기시미 이치로","인플루엔셜","2014","9788996991342","1","10"
"000001185774","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술","조원재 지음","백도씨: 블랙피쉬","2018","9788968331862","6","10"
"000001481788","소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간","에릭 와이너 지음","어크로스: 어크로스출판그룹","2021","9791190030922","1","10"
"000001484855","순례주택 :유은실 소설","유은실 지음","비룡소","2021","9788949123493","8","10"
"000001384503","시선으로부터, :정세랑 장편소설","정세랑 지음","문학동네","2020","9788954672214","8","10"
"000001555910","역행자 :돈?시간?운명으로부터 완전한 자유를 얻는 7단계 인생 공략집","자청 지음","웅진지식하우스 : 웅진씽크빅","2022","9788901260716","3","10"
"000001570657","이토록 평범한 미래 :김연수 소설","김연수 지음","문학동네","2022","9788954680004","8","10"
"000001550980","작별인사 :김영하 장편소설","김영하 지음","복복서가","2022","9791191114225","8","10"
"000001031732","친밀한 이방인 :정한아 장편소설","정한아 지음","문학동네","2017","9788954648523","8","10"
"000001398369","(마음을 꿰뚫어 보는)소통의 법칙 =Law of communication","이현우 지음","창작시대","2020","9788974472337","1","9"
"000001509077","(서울 자가에 대기업 다니는) 김 부장 이야기 .1 ,김 부장 편","송희구 지음","서삼독","2021","9791165343996","3","9"
"000001509078","(서울 자가에 대기업 다니는) 김 부장 이야기 .2 ,정 대리?권 사원 편","송희구 지음","서삼독","2021","9791165344009","3","9"
"000001590013","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업","김미경 지음","Awake Books: 엠케이유니버스","2023","9791198013026","3","9"
"000001065517","7년의 밤 :정유정 장편소설","정유정 지음","은행나무","2011","9788956604992","8","9"
"000001526996","H마트에서 울다","미셸 자우너 지음","문학동네","2022","9788954683371","8","9"
"000001314638","가재가 노래하는 곳 :델리아 오언스 장편소설","델리아 오언스 [지음]","살림 : 살림출판사","2019","9788952240569","8","9"
"000001620118","각각의 계절 :권여선 소설","권여선 지음","문학동네","2023","9788954692526","8","9"
"000001550979","당신은 결국 무엇이든 해내는 사람 :김상현 에세이","김상현 지음","필름: 필름(Feelm) 출판사","2022","9791188469994","8","9"
"000001619599","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법","요한 하리 지음","어크로스 : 어크로스출판그룹","2023","9791167740984","1","9"
"000000681654","도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선","유현준 지음","을유문화사","2015","9788932472959","3","9"
"000001577908","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42","김혜남 지음","메이븐","2022","9791190538510","1","9"
"000000824190","무빙 :강풀액션만화 .1 ,응원할게 뭘 응원해 너","강풀 [지음]","위즈덤하우스","2016","9788960869219","8","9"
"000001516812","벼랑 끝, 상담 :마음의 상처를 치료하기 위한 17명의 상담사례와 30가지 심리치료","최고야","푸른향기","2021","9788967821500","1","9"
"000001591967","세상 끝의 카페","존 스트레레키 지음","클레이하우스","2023","9791198173812","8","9"
"000001562882","아몬드 :손원평 장편소설","손원평 지음","창비","2022","9788936438753","8","9"
"000001569976","아버지의 해방일지 :정지아 장편소설","정지아 지음","창비","2022","9788936438838","8","9"
"000001396980","아비투스 :인간의 품격을 결정하는 7가지 자본","도리스 메르틴 지음","다산초당 : 다산북스","2020","9791130630762","3","9"
"000000031978","어게인 .1","강풀 글 그림","웅진닷컴","2012","9788901140926","8","9"
"000000031980","어게인 .2","강풀 글 그림","웅진닷컴","2012","9788901140933","8","9"
"000000031982","어게인 .3","강풀 글 그림","웅진닷컴","2012","9788901140940","8","9"
"000001318311","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설집","김초엽 지음","허블","2019","9791190090018","8","9"
"000001360220","우리는 모두 죽는다는 것을 기억하라 :삶의 다른 방식을 찾고 있는 당신에게","웨인 다이어 지음","Tornado(토네이도)","2019","9791158511586","1","9"
"000001303998","월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법","너나위 지음","RHK(알에이치코리아)","2019","9788925566511","3","9"
"000001280251","팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유","한스 로슬링","김영사","2019","9788934985068","1","9"
"000001626901","풍수전쟁 :김진명 장편소설","김진명 지음","이타: 이타북스","2023","9791167763846","8","9"
"000001481864","프로젝트 헤일메리","앤디 위어 지음","RHK(알에이치코리아)","2021","9788925588735","8","9"
"000001509082","홍학의 자리 :정해연 장편소설","정해연 지음","엘릭시르 : 문학동네","2021","9788954681155","8","9"
"000001524922","(1일 1로그 100일 완성) IT 지식 :하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기","브라이언 W. 커니핸 지음","인사이트","2021","9788966263301","0","8"
"000001303320","(50대 사건으로 보는) 돈의 역사 =The history of Money","홍춘욱 지음","Rok Media(로크미디어)","2019","9791135422225","3","8"
"000001523954","(고양이 해결사) 깜냥 :홍민정 동화 .4 ,눈썰매장을 씽씽 달려라!","홍민정 지음","창비","2022","9788936448134","8","8"
"000000004273","1Q84 :무라카미 하루키 장편소설 .1 ,4月-6月","무라카미 하루키 [지음]","문학동네","2009","9788954608640","8","8"
"000000638118","가면산장 살인사건","히가시노 게이고 지음","재인","2014","9788990982575","8","8"
"000001012233","나의 문화유산답사기 .9 ,서울편1 : 만천명월 주인옹은 말한다","유홍준 지음","창비","2017","9788936474393","9","8"
"000001634511","너의 퀴즈 :오가와 사토시 장편소설","오가와 사토시 지음","블루홀6(블루홀식스)","2023","9791193149034","8","8"
"000001575746","다이어트 사이언스 :지방세포 잠금해제 스타일스 다이어트 : 비만의 알고리즘, 간헐적 단식과 저탄수 식단의 과학 =Diet science 2022","최겸 지음","린 체인저스","2022","9791197834202","5","8"
"000001508416","달러구트 꿈 백화점 :이미예 장편소설 .2 ,단골손님을 찾습니다","이미예 지음","팩토리나인","2021","9791165343729","8","8"
"000000941718","돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설","야쿠마루 가쿠 지음","북플라자(Book plaza)","2017","9788998274795","8","8"
"000001395189","매우 예민한 사람들을 위한 책 :뇌과학과 정신의학이 들려주는 당신 마음에 대한 이야기","전홍진 지음","글항아리","2020","9788967358020","1","8"
"000001516142","모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학","손웅정 지음","수오서재","2021","9791190382502","6","8"
"000000831697","무빙 :강풀액션만화 .4 ,내 아이라고 생각한다면 판단은 쉬워","강풀 [지음]","위즈덤하우스","2016","9788960869240","8","8"
"000001627738","문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?","유시민 지음","돌베개","2023","9791192836188","0","8"
"000001590691","방주 :유키 하루오 장편소설","유키 하루오 지음","블루홀6(블루홀식스)","2023","9791189571894","8","8"
"000000048501","불안","알랭 드 보통 [지음]","은행나무","2012","9788956605593","8","8"
"000000786756","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","유발 하라리 지음","김영사","2015","9788934972464","9","8"
"000000844452","쇼코의 미소 :최은영 소설","최은영 [지음]","문학동네","2016","9788954641630","8","8"
"000001587254","안젤리크 :기욤 뮈소 장편소설","기욤 뮈소 지음","밝은세상","2022","9788984374546","8","8"
"000000158368","장수탕 선녀님","백희나 글?그림","책읽는곰","2012","9788993242706","8","8"
"000000920583","지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가","팀 마샬 지음","사이","2016","9788993178692","3","8"
"000000495699","총, 균, 쇠 :무기, 병균, 금속은 인류의 운명을 어떻게 바꿨는가","재레드 다이아몬드 지음","문학사상","2013","9788970128856","3","8"
"000001370296","페인트 :이희영 장편소설","이희영 지음","창비","2019","9788936459093","8","8"
"000001514388","피프티 피플 :정세랑 장편소설","정세랑 지음","창비","2021","9788936434540","8","8"
"000001008112","해가 지는 곳으로 :최진영 장편소설","최진영 [지음]","민음사","2017","9788937473166","8","8"
"000000509613","(EBS 다큐프라임) 자본주의 :금융?소비?돈에 관한 33가지 비밀","EBS <자본주의> 제작팀","가나 : 가나문화콘텐츠","2013","9788957365793","3","7"
"000001509447","(고양이 해결사) 깜냥 :홍민정 동화 .3 ,태권도의 고수가 되어라!","홍민정 지음","창비","2021","9788936448011","8","7"
"000001556888","(보도 섀퍼의) 돈","보도 섀퍼 지음","에포케","2022","9788919205013","3","7"
"000001516471","(서울 자가에 대기업 다니는) 김 부장 이야기 .3 ,송 과장 편","송희구 지음","서삼독","2021","9791165344221","3","7"
"000001543054","(운명을 바꾸는) 부동산 투자 수업 :내 집 마련부터 실전 아파트 투자까지, 결국 돈 버는 부동산 투자 트레이닝 .[2] ,실전편","정태익 지음","리더스북","2022","9788901259314","3","7"
"000001329932","(이상한 과자 가게) 전천당 .1","히로시마 레이코 글","길벗스쿨","2019","9791164064588","8","7"
"000000002910","(인생을 바꾸는 자기 혁명) 몰입 :'생각하고 집중하고 몰입하라 =Think Hard","황농문 지음","랜덤하우스","2008","8925514826","3","7"
"000000298219","1984","조지 오웰 지음","민음사","2003","9788937460777","8","7"
"000001632036","6번칸 [비디오녹화자료] =Compartment no. 6","유호 쿠오스마넨 감독","엘티씨(LTC) [제작/판매]","2022","","6","7"
"000001504676","90일 밤의 미술관 :루브르 박물관 = 루브르에서 여행하듯 시작하는 교양 미술 감상 =90 nights' museum: Louvre Museum","이혜준","동양북스","2021","9791157687114","6","7"
"000001171900","Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .3 ,일본(Japan)","김미영 글","아울북×Kakao Friends : 북이십일 아울북","2018","9788950976118","9","7"
"000001631286","가시의 집 :나카야마 시치리 장편소설","나카야마 시치리 지음","블루홀6(블루홀식스)","2023","9791193149010","8","7"
"000000730902","객체지향의 사실과 오해 :역할, 책임, 협력 관점에서 본 객체지향 =The essence of object-orientation : roles, responsibilities, and collaborations","조영호 지음","위키북스","2015","9788998139766","0","7"
"000001556127","고독사 워크숍 :박지영 장편소설","박지영 지음","민음사","2022","9788937473364","8","7"
"000001375706","공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가","유현준 지음","을유문화사","2020","9788932474274","5","7"
"000001318796","그것만 있을 리가 없잖아","요시타케 신스케 글?그림","주니어김영사","2019","9788934995357","8","7"
"000001589816","금리의 역습 :금리는 어떻게 부의 질서를 뒤흔드는가","에드워드 챈슬러 지음","위즈덤하우스","2023","9791168125582","3","7"
"000001582822","기분이 태도가 되지 말자 :감정조절이 필요한 당신을 위한 책","김수현 지음","Highest(하이스트 출판사)","2022","9791197647666","8","7"
"000001557057","내가 된다는 것 :데이터, 사이보그, 인공지능 시대에 인간 의식을 탐험하다","아닐 세스 지음","흐름출판","2022","9788965965169","1","7"
"000001508517","다정한 것이 살아남는다","브라이언 헤어","디플롯","2021","9791197413025","4","7"
"000001522607","달콩이네 떡집","김리리 글","비룡소","2021","9788949162126","8","7"
"000001588725","당신도 느리게 나이 들 수 있습니다","정희원 지음","더 퀘스트: 길벗","2023","9791140702589","5","7"
"000001589683","돈은 좋지만 재테크는 겁나는 너에게 :혼자서는 막막한 20대에게 뿅글이가 알려주는 돈을 다루고 불리는 비밀","뿅글이 지음","BM황금부엉이: 첨단","2023","9788960306134","3","7"
"000001631919","떠나기 전 해야 할 일 [비디오녹화자료]","숀 크리스텐슨 감독","다온미디어 [제작]","2023","","6","7"
"000001527071","마음의 법칙 :사람의 마음을 사로잡는 51가지 심리학","폴커 키츠","포레스트북스 : 콘텐츠그룹 포레스트","2022","9791191347685","1","7"
"000001569980","마흔에 읽는 니체 :지금 이 순간을 살기 위한 철학 수업: Nietzsche","장재형 지음","유노북스: 유노콘텐츠그룹","2022","9791192300245","1","7"
"000000313467","망원동 브라더스 :김호연 장편소설","김호연 지음","나무옆의자","2013","9788997962129","8","7"
"000001222207","멋진 신세계","올더스 헉슬리 지음","문예출판사","2018","9788931010831","8","7"
"000000308691","모순 :양귀자 소설","양귀자 지음","쓰다","2013","9788998441012","8","7"
"000001591979","바다가 들리는 편의점","마치다 소노코 지음","모모 : 바이포엠 스튜디오","2023","9791192579504","8","7"
"000000508874","밤의 여행자들 :윤고은 장편소설","윤고은 지음","민음사","2013","9788937473036","8","7"
"000001031882","봉제인형 살인사건","다니엘 콜 지음","북플라자","2017","9788998274931","8","7"
"000001485582","부의 시나리오 :불확실성을 기회로 만드는 4가지 투자전략","오건영 지음","Page2(페이지2북스)","2021","9791190977265","3","7"
"000001550976","브라질에 비가 내리면 스타벅스 주식을 사라 :경제의 큰 흐름에서 기회를 잡는 매크로 투자 가이드","피터 나바로 지음","에프엔미디어","2022","9791188754588","3","7"
"000001131062","브릿지 .1","강풀 [지음]","위즈덤 하우스","2017","9791162202449","8","7"
"000001628914","순도 100퍼센트의 휴식 :박상영 에세이","박상영 지음","인플루엔셜","2023","9791168341128","8","7"
"000001303893","숨 :테드 창 소설","테드 창 [지음]","엘리 : 북하우스 퍼블리셔스","2019","9791164050277","8","7"
"000001590932","스즈메의 문단속 :Suzume","신카이 마코토 지음","대원씨아이","2023","9791169791977","8","7"
"000000672455","스토너 :존 윌리엄스 장편소설","존 윌리엄스 [지음]","RHK(알에이치코리아)","2015","9788925554990","8","7"
"000000872336","시지프 신화  ","알베르 카뮈 [지음]","민음사","2016","9788937463433","8","7"
"000000856921","심리학, 자존감을 부탁해 :온전히 나답게 살기 위한 자존감 연습","슈테파니 슈탈 지음","갈매나무","2016","9788993635720","1","7"
"000001005630","아몬드 :손원평 장편소설","손원평 [지음]","창비","2017","9788936456788","8","7"
"000001280279","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가","제임스 클리어 지음","비즈니스북스","2019","9791162540640","1","7"
"000001554289","애쓰지 않아도 :최은영 짧은 소설","최은영 지음","마음산책","2022","9788960907348","8","7"
"000001384465","인스타 브레인 :몰입을 빼앗긴 시대, 똑똑한 뇌 사용법","안데르스 한센 지음","동양북스","2020","9791157686179","5","7"
"000001570783","작은 땅의 야수들 :김주혜 장편소설","김주혜 지음","다산책방: 다산북스","2022","9791130693927","8","7"
"000000990278","저주토끼 :정보라 소설집 =Cursed bunny","정보라 지음","아작","2017","9791187206422","8","7"
"000000179497","제노사이드 =Genocide","다카노 가즈아키 지음","황금가지","2012","9788960174191","8","7"
"000001280233","좋은지 나쁜지 누가 아는가","류시화 [지음]","더숲","2019","9791186900789","8","7"
"000001137504","죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이","백세희 지음","흔","2018","9791196394509","8","7"
"000001509166","죽이고 싶은 아이 :이꽃님 장편소설","이꽃님 지음","우리학교","2021","9791167550170","8","7"
"000000034286","채식주의자 :한강 연작소설","한강 지음","창비","2007","9788936433598","8","7"
"000001631300","총, 균, 쇠 :인간 사회의 운명을 바꾼 힘","재레드 다이아몬드 지음","김영사","2023","9788934951711","3","7"
"000000947589","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략","팀 페리스 지음","토네이도미디어그룹(TORNADO)","2017","9791158510619","3","7"
"000000158623","토지 :박경리 대하소설 .1 ,제1부 1권","박경리 지음","마로니에북스","2012","9788960532410","8","7"
"000001564118","파친코 :이민진 장편소설 .2","이민진 지음","인플루엔셜","2022","9791168340541","8","7"
"000001384504","현명한 투자자 :벤저민 그레이엄 직접 쓴 마지막 개정판 .1","벤저민 그레이엄 지음","국일증권경제연구소 : 국일미디어","2020","9788957821305","3","7"
"000001619830","형사 박미옥","박미옥","이야기장수: 문학동네","2023","9788954692519","8","7"
"000001589461","화이트 러시 =White rush","히가시노 게이고 지음","소미미디어","2023","9791138415477","8","7"
"000001612236","흔한남매 이상한 나라의 고전 읽기 .1","최재훈 글","Mirae N 아이세움 : 미래엔","2022","9791168412248","8","7"
"000001589656","희망의 끈","히가시노 게이고 지음","재인","2022","9791192483146","8","7"
"000001633615","#진상을 말씀드립니다","유키 신이치로 지음","[시옷북스]","2023","9791192579566","8","6"
"000001475962","(구슬쌤의) 예의 바른 영어 표현","구슬 지음","사람in","2021","9788960498792","7","6"
"000001543168","(김학렬의) 부동산 투자 절대 원칙 :최강 인플루언서 빠숑과 함께하는 나의 평생 부동산 교과서","김학렬 지음","에프엔미디어","2022","9791188754595","3","6"
"000000009959","(베르나르 베르베르의) 상상력 사전 :새롭게 증보된 상대적이며 절대적인 지식의 백과사전","베르나르 베르베르 지음","열린책들","2011","9788932910864","8","6"
"000001360299","(신비아파트) 공포인공지능탈출 :AI 과학 상식","박동명 글","서울문화사","2019","9791164380978","4","6"
"000001094170","(전설로 떠나는) 월가의 영웅 :주식투자에서 상식으로 성공하는 법","피터 린치","국일증권경제연구소","2017","9788957821176","3","6"
"000001334947","(쿠키런(Cookierun)) 세계사 .3 ,고대 그리스 : 아테네, 스파르타, 알렉산더 대왕","동림스토리 글","서울문화사","2019","9791164380992","9","6"
"000001546676","10배의 법칙 :성공과 실패를 가르는 유일한 차이","그랜트 카돈 지음","부키","2022","9788960519145","3","6"
"000001590796","K 배터리 레볼루션 :향후 3년, 새로운 부의 시장에서 승자가 되는 법 =K battery revolution","박순혁 지음","지와인","2023","9791191521221","3","6"
"000001626354","가여운 것들","앨러스데어 그레이 지음","황금가지","2023","9791170522690","8","6"
"000001405842","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가","마이클 샌델 지음","와이즈베리: 미래엔","2020","9791164136452","3","6"
"000001473693","그녀는 다 계획이 있다 :히가시노 게이고 장편소설","히가시노 게이고 지음","하빌리스: 대원씨아이","2021","9791136264473","8","6"
"000000178784","그대들, 어떻게 살 것인가","요시노 겐자부로 지음","양철북출판사","2012","9788963720654","1","6"
"000001558287","글로벌 비즈니스를 위한 문화 간 커뮤니케이션","엘리자베스 A. 툴레자 지음","커뮤니케이션북스","2022","9791128862854","3","6"
"000001393910","기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업","레몬심리 지음","갤리온 : 웅진씽크빅","2020","9788901243658","1","6"
"000000995349","기사단장 죽이기 :무라카미 하루키 장편소설 .1 ,현현하는 이데아","무라카미 하루키 [지음]","문학동네","2017","9788954646123","8","6"
"000001516255","나는 1,000만 원으로 아파트 산다 :170만 부동산 카페 회원들이 열광하는 시크릿브라더의 투자 비결","시크릿브라더 지음","BM황금부엉이 : 첨단","2021","9788960305885","3","6"
"000001031674","나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식","팀 페리스 지음","빛과향기: 다른상상","2017","9791185584454","3","6"
"000001304062","나는 소망한다 내게 금지된 것을 :양귀자 장편소설","양귀자 [지음]","쓰다","2019","9788998441074","8","6"
"000001550878","나의 투자는 새벽 4시에 시작된다 :3년만에 300억으로 돌아온 유목민의 투자 인사이트","유목민 지음","리더스북: 웅진씽크빅","2022","9788901259703","3","6"
"000001575427","나주에 대하여 :김화진 소설","김화진 지음","문학동네","2022","9788954688994","8","6"
"000001590784","날씨와 얼굴 :이슬아 칼럼집","이슬아 지음","위고","2023","9791186602935","8","6"
"000001360444","내 주위에는 왜 멍청이가 많을까 :세상을 위협하는 멍청함을 연구하다","장 프랑수아 마르미옹 지음","시공사","2020","9788952756879","1","6"
"000001612201","내가 가진 것을 세상이 원하게 하라 :최인아 대표가 축적한 일과 삶의 인사이트","최인아 지음","해냄출판사","2023","9791167140609","3","6"
"000001625837","너의안부","성현주","몽스북(주)","2022","9791191401646","8","6"
"000001625834","다피다운딜리","서지현","씨엘비북스(CLB BOOKS)","2023","9791169680868","8","6"
"000000298252","단순한 열정 :아니 에르노 소설","아니 에르노 [저]","문학동네","2011","9788954619592","8","6"
"000001476231","달까지 가자 :장류진 장편소설","장류진 지음","창비","2021","9788936434496","8","6"
"000001228377","당신이 옳다 :정혜신 적정심리학","정혜신 지음","해냄출판사","2018","9788965746669","1","6"
"000001591149","더 좋은 삶을 위한 철학 :천사와 악마 사이 더 나은 선택을 위한 안내서","마이클 슈어 지음","김영사","2023","9788934965909","1","6"
"000001294961","돈 공부는 처음이라 :0원부터 시작하는 난생처음 부자 수업","김종봉","다산북스","2019","9791130620893","3","6"
"000001590534","돈의 규칙","신민철 지음","베가북스","2023","9791192488257","3","6"
"000001462551","돈의 심리학 :당신은 왜 부자가 되지 못했는가","모건 하우절 지음","인플루엔셜","2021","9791191056372","3","6"
"000001222147","동물농장","조지 오웰 [지음]","더디퍼런스: 더디","2018","9791161250625","8","6"
"000001575749","랑랑 형제 떡집","김리리 글","비룡소","2022","9788949162485","8","6"
"000001525305","럭키 드로우 :나만의 길을 찾을 때까지 인생의 레버를 당기는 법 =Lucky draw","드로우앤드류 지음","다산북스","2022","9791130679822","3","6"
"000001589423","마케팅 설계자 :자동 수익을 실현하는 28가지 마케팅 과학 : 사업이 흥하는 퍼널 마케팅 비법","러셀 브런슨 지음","윌북","2022","9791155815656","3","6"
"000000824535","맘 놓고 병 좀 고치게 해주세요 :신의(神醫) 장병두의 삶과 의술 이야기","장병두 구술 및 감수","정신세계사","2009","9788935703128","5","6"
"000001632447","매일 이곳이 좋아집니다 :낯선 곳에서 나 혼자 쌓아올린 괜찮은 하루하루","마스다 미리 지음","티라미수 더북","2023","9791169518352","8","6"
"000000035655","모순 :양귀자 장편소설","양귀자 지음","살림출판사","1998","8985577921","8","6"
"000001150646","모스크바의 신사 :에이모 토울스 장편소설","에이모 토울스 [지음]","현대문학","2018","9788972758945","8","6"
"000001359312","목소리를 드릴게요 :정세랑 소설집","정세랑 지음","아작","2020","9791165300005","8","6"
"000001633418","못 먹는 남자 :정해연 장편소설","정해연 지음","엘릭시르: 문학동네","2023","9788954699235","8","6"
"000000826564","문학과 예술의 사회사 .2 ,르네상스 매너리즘 바로끄","아르놀트 하우저 지음","창비","2016","9788936483449","6","6"
"000001570057","믹스 :세상에서 가장 쉬운 차별화 =Mix","안성은 지음","더 퀘스트: 길벗","2022","9791140700998","3","6"
"000001619855","바빌론 [비디오녹화자료]","데이미언 셔젤 감독","파라마운트 픽쳐스 [공급]","2023","","6","6"
"000001412919","방구석 미술관 :가볍게 시작해 볼수록 빠져드는 한국 현대미술 .2 ,한국","조원재 지음","블랙피쉬: 백도씨","2020","9788968332845","6","6"
"000001581616","백만장자를 위한 공짜 음식 .1","이민진 지음","인플루엔셜","2022","9791168340633","8","6"
"000001625832","부부가둘다잘먹었습니다-성북동소행성부부의일상식사일기","윤혜자","몽스북(주)","2023","9791191401684","8","6"
"000001345887","부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길","브라운스톤 지음","Openmind(오픈마인드)","2019","9788995563502","3","6"
"000001131298","브릿지 .2","강풀 [지음]","위즈덤하우스 미디어그룹: 위즈덤하우스","2017","9791162202456","8","6"
"000001150653","브릿지 .4","강풀 [지음]","위즈덤하우스 미디어그룹: 위즈덤하우스","2018","9791162202470","8","6"
"000001612319","블랙 쇼맨과 환상의 여자","히가시노 게이고 지음","알에이치코리아(RHK)","2023","9788925576633","8","6"
"000001525135","비하인드 도어 :B.A. 패리스 장편소설","B.A. 패리스 지음","모모: 바이포엠","2021","9791191043525","8","6"
"000001620102","삶을 향한 완벽한 몰입 :무의미한 것들로부터 나를 지키는 8가지 다짐","조슈아 베커 지음","와이즈맵","2023","9791189328627","3","6"
"000001235305","생각에 관한 생각 :우리의 행동을 지배하는 생각의 반란","대니얼 카너먼 [지음]","김영사","2018","9788934981213","3","6"
"000001555558","세상의 마지막 기차역 =The last train station in the world","무라세 다케시 지음","모모: 바이포엠 스튜디오","2022","9791191043754","8","6"
"000001631298","수박의 전설 :외전: 이지은 그림책","이지은 글?그림","쿵프레스","2023","9791198361202","8","6"
"000001570014","수해에서 살아남기","박송이 글","Mirae N 아이세움 : 미래엔","2022","9791168412286","4","6"
"000001473798","스노볼 드라이브 :조예은 장편소설","조예은 지음","민음사","2021","9788937473319","8","6"
"000001031897","신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘","마크 맨슨 지음","갤리온: 웅진씽크빅","2017","9788901219943","1","6"
